Date,eCPM,Anomaly Type
2021-04-04,24.24,eCPM
2021-04-10,26.42,eCPM
2021-05-15,28.7,eCPM
2021-07-26,42.6,eCPM
2021-08-07,24.93,eCPM
2021-08-08,29.41,eCPM
2022-01-05,0.64,eCPM
2022-02-05,1.08,eCPM
2023-04-05,40.07,eCPM
2023-04-25,30.5,eCPM
2023-05-10,26.67,eCPM
2023-06-14,31.64,eCPM
2023-06-18,50.85,eCPM
2023-06-19,87.13,eCPM
2023-06-20,90.75,eCPM
2023-06-21,111.75,eCPM
2023-06-22,78.09,eCPM
2023-06-23,68.31,eCPM
2023-06-24,60.05,eCPM
2023-06-25,54.92,eCPM
2023-06-26,37.19,eCPM
2023-06-27,40.53,eCPM
2023-06-28,52.59,eCPM
2023-06-29,39.6,eCPM
2023-06-30,56.34,eCPM
2023-07-01,39.09,eCPM
2023-07-02,33.7,eCPM
2023-07-03,40.75,eCPM
2023-07-04,51.48,eCPM
2023-07-05,56.83,eCPM
2023-07-06,33.48,eCPM
2023-07-07,25.22,eCPM
2023-07-08,55.42,eCPM
2023-07-09,64.5,eCPM
2023-07-10,47.14,eCPM
2023-07-11,48.97,eCPM
2023-07-12,61.02,eCPM
2023-07-13,37.78,eCPM
2023-07-14,44.42,eCPM
2023-07-15,30.92,eCPM
2023-07-16,45.79,eCPM
2023-07-17,35.32,eCPM
2023-07-19,30.98,eCPM
2023-07-20,36.98,eCPM
2023-07-21,34.91,eCPM
2023-07-22,39.03,eCPM
2023-07-23,34.86,eCPM
