ds,yhat,yhat_lower,yhat_upper,y,Anomaly,Metric,Anomaly Type,Date,Country
2021-02-02,8.131554129873987,-0.2747143320613543,16.630014717524368,20.13,Positive,eCPM,eCPM,2021-02-02,Togo
2021-04-04,7.458367042768284,-1.03901399075035,15.905355052034475,24.24,Positive,eCPM,eCPM,2021-04-04,Togo
2021-04-08,7.238154710977437,-1.9412740882179627,15.915362113350954,18.08,Positive,eCPM,eCPM,2021-04-08,China
2021-04-09,6.845448105850638,-1.6532613927498765,15.587743480733291,16.84,Positive,eCPM,eCPM,2021-04-09,Unknown Region
2021-04-10,6.496533597657993,-2.2839088830345697,15.862244690512714,26.42,Positive,eCPM,eCPM,2021-04-10,Finland
2021-04-11,6.659803708139405,-2.2303753197536773,15.845262035439646,16.32,Positive,eCPM,eCPM,2021-04-11,Puerto Rico
2021-05-15,4.686675021932334,-4.5139452694941395,13.19278228334364,28.7,Positive,eCPM,eCPM,2021-05-15,Austria
2021-05-28,0.6656075969714927,-8.203358561635882,9.216878441725035,13.59,Positive,eCPM,eCPM,2021-05-28,Mexico
2021-06-21,16.328860206370198,7.500042252511172,25.024094264228737,7.07,Negative,eCPM,eCPM,2021-06-21,Congo - Brazzaville
2021-06-22,16.676926813041067,8.103838444918729,25.455295117968777,6.84,Negative,eCPM,eCPM,2021-06-22,Czechia
2021-06-23,17.65826208776869,9.235492574067102,27.278611110340368,6.1,Negative,eCPM,eCPM,2021-06-23,Gabon
2021-06-24,16.94480642238822,7.961983896060254,24.924234785820914,5.43,Negative,eCPM,eCPM,2021-06-24,Guinea
2021-06-25,16.86241900564015,7.657815622604755,25.582686867659284,7.45,Negative,eCPM,eCPM,2021-06-25,Barbados
2021-06-26,16.753762535949427,8.120129146054373,25.297549182135747,5.44,Negative,eCPM,eCPM,2021-06-26,Congo - Kinshasa
2021-06-27,17.086841704386526,8.566795468111067,26.228348690549943,5.99,Negative,eCPM,eCPM,2021-06-27,Jordan
2021-06-29,17.11728766597827,8.585400203660228,25.976466628097686,2.53,Negative,eCPM,eCPM,2021-06-29,Ukraine
2021-06-30,17.437868675357915,9.22478490486658,26.13762224495065,7.84,Negative,eCPM,eCPM,2021-06-30,Vietnam
2021-07-01,16.098931278348115,7.327692273044898,24.80181107495607,3.65,Negative,eCPM,eCPM,2021-07-01,Ethiopia
2021-07-12,11.421561000001986,2.602055175986627,20.358598802093013,2.21,Negative,eCPM,eCPM,2021-07-12,Germany
2021-07-18,10.004683904687635,0.8040794038181643,18.597005472881076,19.5,Positive,eCPM,eCPM,2021-07-18,Poland
2021-07-26,11.67271606215326,2.948573971197291,19.597082238461574,42.6,Positive,eCPM,eCPM,2021-07-26,Zambia
2021-07-27,11.7366322840535,3.7197851260170145,19.881040948940573,22.63,Positive,eCPM,eCPM,2021-07-27,US Virgin Islands
2021-08-03,12.08211184933953,3.6341882619203263,20.96148538860022,22.36,Positive,eCPM,eCPM,2021-08-03,Chile
2021-08-07,10.537062203858603,2.136947615710277,19.142026573805158,24.93,Positive,eCPM,eCPM,2021-08-07,Bangladesh
2021-08-08,10.614052508804757,1.8895290507131919,19.252991676198704,29.41,Positive,eCPM,eCPM,2021-08-08,China
2021-08-12,9.20069432326427,-0.11442406697148055,17.902443128768045,20.73,Positive,eCPM,eCPM,2021-08-12,Uganda
2021-09-08,9.66456739117491,1.012850642081459,17.49481796558403,18.05,Positive,eCPM,eCPM,2021-09-08,Türkiye
2021-09-23,9.709395679264023,1.3440633189392517,18.103958450617128,20.95,Positive,eCPM,eCPM,2021-09-23,South Korea
2022-03-20,2.9123196726434344,-6.330845943989736,11.813055251138282,13.79,Positive,eCPM,eCPM,2022-03-20,South Africa
2022-03-24,3.6765475296369043,-5.503247582938686,12.69238992846244,16.5,Positive,eCPM,eCPM,2022-03-24,Brazil
2022-04-06,6.3817760208932395,-3.003822600525863,15.016018394366117,16.07,Positive,eCPM,eCPM,2022-04-06,Hungary
2022-04-28,2.017304097670517,-6.694646154255945,10.338096141578156,14.66,Positive,eCPM,eCPM,2022-04-28,Jordan
2022-05-28,-1.4844653844283795,-10.686664789641167,8.205261246906597,9.85,Positive,eCPM,eCPM,2022-05-28,US Virgin Islands
2022-05-30,-0.7424495721192939,-9.89317743050024,7.6755178849383325,7.75,Positive,eCPM,eCPM,2022-05-30,Côte d’Ivoire
2022-06-07,2.2175764827153124,-6.593899783234322,10.808169448911157,12.09,Positive,eCPM,eCPM,2022-06-07,Fiji
2022-06-20,13.608142291282325,5.01770541958955,22.465503062347086,4.85,Negative,eCPM,eCPM,2022-06-20,Cameroon
2022-06-22,15.181504585946625,6.247503016583673,23.716432935745242,3.61,Negative,eCPM,eCPM,2022-06-22,Congo - Brazzaville
2022-06-23,14.5964538627143,6.162280799097944,23.089200171495538,3.62,Negative,eCPM,eCPM,2022-06-23,Czechia
2022-06-25,14.662457448096315,6.17029107474828,23.666619744316957,5.26,Negative,eCPM,eCPM,2022-06-25,Guinea
2022-06-27,15.602552056534902,6.978242018100562,24.072399337073897,3.31,Negative,eCPM,eCPM,2022-06-27,Congo - Kinshasa
2022-06-28,15.375697778686392,6.962918132265205,23.918232627042645,4.6,Negative,eCPM,eCPM,2022-06-28,Jordan
2022-06-29,15.794590026051708,6.973775947437171,24.421554976252022,5.24,Negative,eCPM,eCPM,2022-06-29,Mauritius
2022-07-01,13.953392905576562,5.086491748371994,22.976169440516422,3.1,Negative,eCPM,eCPM,2022-07-01,Vietnam
2022-07-02,13.38095252783461,5.012666212823526,22.335068953849774,3.92,Negative,eCPM,eCPM,2022-07-02,Ethiopia
2022-12-03,7.061843316075347,-1.882848290234782,15.514134457297333,17.39,Positive,eCPM,eCPM,2022-12-03,Algeria
2022-12-15,8.60407807963877,-0.06012144548815704,17.30904411113324,20.21,Positive,eCPM,eCPM,2022-12-15,Armenia
2023-04-03,17.196368954071126,8.953062849250598,25.790318572889753,7.12,Negative,eCPM,eCPM,2023-04-03,Thailand
2023-04-05,18.02856587444866,8.988520581155557,27.339277664384554,40.07,Positive,eCPM,eCPM,2023-04-05,Chile
2023-04-08,16.86270291365712,8.591022954705089,25.88505360281231,5.13,Negative,eCPM,eCPM,2023-04-08,Fiji
2023-04-09,17.235569268320013,7.794102648290035,26.169126213580956,6.67,Negative,eCPM,eCPM,2023-04-09,Bangladesh
2023-04-10,17.70103970912451,9.049092721732187,27.159509813541398,8.85,Negative,eCPM,eCPM,2023-04-10,China
2023-04-12,18.048704700489175,9.570097616439915,26.34077243901794,8.19,Negative,eCPM,eCPM,2023-04-12,Finland
2023-04-17,16.90553042262316,8.318927756084081,25.5615135456383,4.69,Negative,eCPM,eCPM,2023-04-17,Benin
2023-04-18,16.667638145401558,8.98522178566364,25.397640533335256,8.09,Negative,eCPM,eCPM,2023-04-18,Sweden
2023-04-21,15.82402819848158,6.62485929979088,24.223706177946234,6.03,Negative,eCPM,eCPM,2023-04-21,Cameroon
2023-04-22,15.633738158080785,6.466579303777411,24.303414619499147,4.66,Negative,eCPM,eCPM,2023-04-22,Pakistan
2023-04-25,16.536409389202746,7.766150695043767,25.259556234987333,30.5,Positive,eCPM,eCPM,2023-04-25,Gabon
2023-04-26,17.279400680478656,8.907413913335526,26.117096390890648,5.07,Negative,eCPM,eCPM,2023-04-26,Guinea
2023-05-03,19.030662012108138,10.048868465458163,27.508080315378844,7.52,Negative,eCPM,eCPM,2023-05-03,Ethiopia
2023-05-04,18.3712852407409,9.615943732480533,26.41858063123436,7.68,Negative,eCPM,eCPM,2023-05-04,Liberia
2023-05-12,19.899970012183214,11.540147400384067,29.34316391308036,6.66,Negative,eCPM,eCPM,2023-05-12,Canada
2023-05-13,19.776545573342748,11.337091079641466,29.13155616928904,6.0,Negative,eCPM,eCPM,2023-05-13,Italy
2023-05-14,20.14286200517039,12.055809065461958,28.76630231783811,5.77,Negative,eCPM,eCPM,2023-05-14,Germany
2023-05-18,19.672928503117948,10.568170949508092,28.014723019078207,4.41,Negative,eCPM,eCPM,2023-05-18,Philippines
2023-05-19,19.21407926789438,10.095245513051967,27.52789433499494,3.49,Negative,eCPM,eCPM,2023-05-19,Saudi Arabia
2023-05-20,18.806631570880704,10.291036547387655,27.424287066027922,6.66,Negative,eCPM,eCPM,2023-05-20,Poland
2023-05-21,18.924090168408537,10.528750366119068,28.96577022093171,8.32,Negative,eCPM,eCPM,2023-05-21,South Africa
2023-05-24,19.168100738557104,10.885905343423106,27.856260672227453,10.16,Negative,eCPM,eCPM,2023-05-24,Australia
2023-05-28,17.59443131284987,9.489555277524634,25.965813376804153,6.16,Negative,eCPM,eCPM,2023-05-28,Zambia
2023-05-31,18.86148850424386,10.108493423068625,27.6572123779116,8.44,Negative,eCPM,eCPM,2023-05-31,Côte d’Ivoire
2023-06-01,18.148037952504545,9.346832077993914,27.00957254309504,9.3,Negative,eCPM,eCPM,2023-06-01,Argentina
2023-06-02,18.26256105300233,9.548504771690213,27.61254047936992,7.41,Negative,eCPM,eCPM,2023-06-02,Senegal
2023-06-04,19.46857828534144,10.820760369330925,28.45074086572107,8.83,Negative,eCPM,eCPM,2023-06-04,Algeria
2023-06-10,24.120056994402326,15.432785721613513,32.791204847946794,10.04,Negative,eCPM,eCPM,2023-06-10,China
2023-06-12,27.128301246852853,18.613152397296293,35.71236749224823,9.14,Negative,eCPM,eCPM,2023-06-12,Finland
2023-06-13,28.110258182499276,19.374791795498123,36.75779047804877,14.06,Negative,eCPM,eCPM,2023-06-13,Puerto Rico
2023-06-15,29.939393938990605,21.943310543642653,38.85299520782999,17.46,Negative,eCPM,eCPM,2023-06-15,Spain
2023-06-16,30.758697698923037,22.07685110188336,39.71002411277148,19.44,Negative,eCPM,eCPM,2023-06-16,Armenia
2023-06-17,31.612568750283472,23.705238119810012,40.32519585564881,7.34,Negative,eCPM,eCPM,2023-06-17,Benin
2023-06-18,32.95255726851563,24.08735882470964,41.623055924062214,50.85,Positive,eCPM,eCPM,2023-06-18,Sweden
2023-06-19,34.3526678813051,25.15970098277967,42.90171256190651,87.13,Positive,eCPM,eCPM,2023-06-19,Libya
2023-06-20,35.060619704901,26.288600719141304,43.71613200526506,90.75,Positive,eCPM,eCPM,2023-06-20,Tanzania
2023-06-21,36.416676302826545,27.350704336292615,45.0319852768559,111.75,Positive,eCPM,eCPM,2023-06-21,Cameroon
2023-06-22,36.08794441158573,27.55538475147365,45.15084187058972,78.09,Positive,eCPM,eCPM,2023-06-22,Pakistan
2023-06-23,36.395283135109075,27.244013441509445,45.24010163989347,68.31,Positive,eCPM,eCPM,2023-06-23,Congo - Brazzaville
2023-06-24,36.67630515354862,27.917323056929586,45.536086125899885,60.05,Positive,eCPM,eCPM,2023-06-24,Czechia
2023-06-25,37.39403224011709,28.199853126598963,46.11622878126547,54.92,Positive,eCPM,eCPM,2023-06-25,Gabon
2023-06-28,38.82236549605172,30.27174288628204,47.32679585016005,52.59,Positive,eCPM,eCPM,2023-06-28,Congo - Kinshasa
2023-06-30,37.43687867761376,28.7092275421585,45.942471151366114,56.34,Positive,eCPM,eCPM,2023-06-30,Mauritius
2023-07-04,36.91125628724634,27.422752520267835,46.396131555628315,51.48,Positive,eCPM,eCPM,2023-07-04,Liberia
2023-07-05,37.15267965448338,28.66899570483728,45.501938268342855,56.83,Positive,eCPM,eCPM,2023-07-05,United States
2023-07-07,35.15519220790366,26.619493174920134,44.045204235734104,25.22,Negative,eCPM,eCPM,2023-07-07,United Kingdom
2023-07-08,34.60754340389622,25.542787706195387,43.73889151835515,55.42,Positive,eCPM,eCPM,2023-07-08,New Zealand
2023-07-09,34.620293545819536,25.531615146680885,43.68513317770928,64.5,Positive,eCPM,eCPM,2023-07-09,France
2023-07-10,34.78925504203498,25.910006384716652,43.06231920874907,47.14,Positive,eCPM,eCPM,2023-07-10,United Arab Emirates
2023-07-11,34.38144381054772,25.61498192892362,42.5841869216607,48.97,Positive,eCPM,eCPM,2023-07-11,Türkiye
2023-07-12,34.75351435176459,25.408486126352468,43.67246905088669,61.02,Positive,eCPM,eCPM,2023-07-12,Canada
2023-07-14,33.208663552858454,23.75257171849165,41.64543918748966,44.42,Positive,eCPM,eCPM,2023-07-14,Germany
2023-07-16,33.32306904122375,24.865333991552035,42.01743186884235,45.79,Positive,eCPM,eCPM,2023-07-16,Ghana
2023-07-18,33.848000750586266,24.835111747737876,42.79894590841257,21.89,Negative,eCPM,eCPM,2023-07-18,Philippines
2021-01-02,0.0739568021570556,0.009414174485354969,0.13882032962037677,0.0,Negative,CTR,CTR,2021-01-02,Nigeria
2021-01-12,0.08073580880010287,0.011383825226032648,0.1432655832715269,0.16363636363636364,Positive,CTR,CTR,2021-01-12,Ghana
2021-01-16,0.09807505809782183,0.03703784212094395,0.16314110003114324,0.42857142857142855,Positive,CTR,CTR,2021-01-16,Poland
2021-01-18,0.10148326696996639,0.03339222294145694,0.16811708738943773,0.38461538461538464,Positive,CTR,CTR,2021-01-18,Ireland
2021-01-20,0.09882528945197187,0.0353838490246649,0.16044972356176276,0.2413793103448276,Positive,CTR,CTR,2021-01-20,Australia
2021-01-21,0.09831813816610548,0.036460053608033734,0.1699585494202737,0.4375,Positive,CTR,CTR,2021-01-21,Brazil
2021-01-23,0.09970821390403498,0.03439828610066977,0.16559780339889857,0.16666666666666666,Positive,CTR,CTR,2021-01-23,Cyprus
2021-01-24,0.090625405592476,0.024647284706169278,0.1568672334088332,0.0,Negative,CTR,CTR,2021-01-24,Zambia
2021-01-25,0.09731903560921355,0.03268842793036803,0.16040757591792468,0.5416666666666666,Positive,CTR,CTR,2021-01-25,US Virgin Islands
2021-01-29,0.07673471544356464,0.01627789153366185,0.14031485650967254,0.0,Negative,CTR,CTR,2021-01-29,Senegal
2021-02-03,0.06552880056022542,-0.00010152242483979502,0.1272253214584061,0.23809523809523808,Positive,CTR,CTR,2021-02-03,Hungary
2021-02-06,0.05862064870974184,-0.00555807761251945,0.12178272673067997,0.25,Positive,CTR,CTR,2021-02-06,China
2021-02-09,0.04200677799157822,-0.021142754601363837,0.10479804100833671,0.25,Positive,CTR,CTR,2021-02-09,Puerto Rico
2021-02-21,0.041897892994711416,-0.023241897122444014,0.10837859355955605,0.12903225806451613,Positive,CTR,CTR,2021-02-21,Gabon
2021-03-18,0.039715121740835455,-0.026636294534465203,0.10561008813336235,0.14,Positive,CTR,CTR,2021-03-18,Poland
2021-04-07,0.05814677388998473,-0.005597923684330625,0.11785749656110313,0.14492753623188406,Positive,CTR,CTR,2021-04-07,Bangladesh
2021-04-13,0.05149914620172585,-0.014222559480614922,0.11544477756403278,0.2830188679245283,Positive,CTR,CTR,2021-04-13,Spain
2021-05-05,0.06744015677550108,-0.0008633813898532038,0.13105891520866905,0.15789473684210525,Positive,CTR,CTR,2021-05-05,United Kingdom
2021-05-06,0.0678719055060753,0.001508468045715589,0.12980409499551832,0.5217391304347826,Positive,CTR,CTR,2021-05-06,New Zealand
2021-05-15,0.0688033095900179,0.005088786497285414,0.13351321280642384,0.0,Negative,CTR,CTR,2021-05-15,Austria
2021-06-22,0.030995906142269977,-0.03199454554821437,0.09483368733633678,0.1485148514851485,Positive,CTR,CTR,2021-06-22,Czechia
2021-07-24,0.059451238114480706,-0.005854437213387356,0.12317541582245131,0.25,Positive,CTR,CTR,2021-07-24,South Korea
2021-08-01,0.060930264982235284,-0.004377164984231496,0.1255154622783338,0.14285714285714285,Positive,CTR,CTR,2021-08-01,Thailand
2021-08-02,0.07003368167914331,0.006541855603368577,0.13907384162862174,0.16666666666666666,Positive,CTR,CTR,2021-08-02,Algeria
2021-08-05,0.06715234586049512,0.001276846583484672,0.13209135272711206,0.0,Negative,CTR,CTR,2021-08-05,Hungary
2021-08-08,0.06312590851369115,-0.0006513907183764872,0.12789300388070107,0.234375,Positive,CTR,CTR,2021-08-08,China
2021-08-12,0.06825542590504738,0.0037341442145129872,0.13062353286343373,0.22857142857142856,Positive,CTR,CTR,2021-08-12,Uganda
2021-08-18,0.06924952508974744,0.0021712822953231614,0.13746501002100275,0.2484076433121019,Positive,CTR,CTR,2021-08-18,Tanzania
2021-09-01,0.061298937853368755,-0.007774375963849922,0.12194375291161727,0.189873417721519,Positive,CTR,CTR,2021-09-01,Liberia
2021-09-05,0.05093221744210948,-0.014315759869235861,0.11150364669898039,0.125,Positive,CTR,CTR,2021-09-05,New Zealand
2021-09-06,0.05811933067289224,-0.009339420151063834,0.1237555465934443,0.16666666666666666,Positive,CTR,CTR,2021-09-06,France
2021-09-12,0.04279942567397926,-0.025687837584137868,0.10586369835343094,0.1125,Positive,CTR,CTR,2021-09-12,India
2021-09-14,0.03988301372517506,-0.022555535697907886,0.10163788624343292,0.10752688172043011,Positive,CTR,CTR,2021-09-14,Austria
2021-09-24,0.04318523345023729,-0.02093366596254317,0.10597761009312394,0.12244897959183673,Positive,CTR,CTR,2021-09-24,Cyprus
2021-10-11,0.05934684144201737,-0.008721059801411735,0.12204212451451786,0.15151515151515152,Positive,CTR,CTR,2021-10-11,Puerto Rico
2021-10-17,0.048269120188687446,-0.014081424735328849,0.10890176239222302,0.11607142857142858,Positive,CTR,CTR,2021-10-17,Libya
2021-10-21,0.05142885562452458,-0.012977842168714443,0.11051281061112289,0.1164021164021164,Positive,CTR,CTR,2021-10-21,Congo - Brazzaville
