ds,yhat,yhat_lower,yhat_upper,y,Anomaly,Metric
2021-01-01,7.172399599651935,-1.25176309301369,16.27149302412682,4.33,Normal,eCPM
2021-01-02,6.796166301451755,-1.7937411254763522,16.072231908616516,2.93,Normal,eCPM
2021-01-03,6.984976876325732,-1.357790814509733,15.881137509711115,6.39,Normal,eCPM
2021-01-04,7.327787147678663,-1.3373211654598745,15.59834948935628,11.36,Normal,eCPM
2021-01-05,7.085311197361026,-2.1567602414585068,15.90247282259496,3.94,Normal,eCPM
2021-01-06,7.608565991005225,-1.8021510617026681,15.702378023327567,6.46,Normal,eCPM
2021-01-07,6.572938805877738,-3.1375847824551215,15.292148991078301,3.95,Normal,eCPM
2021-01-08,6.304924910499997,-2.266472770658029,15.456624132822427,7.8,Normal,eCPM
2021-01-09,6.145021235156618,-2.844649706804194,15.116397942984296,3.27,Normal,eCPM
2021-01-10,6.55634085610646,-2.1277286313081003,15.706241464025126,4.57,Normal,eCPM
2021-01-11,7.122652320747429,-1.4048508906462853,16.41094887401245,4.92,Normal,eCPM
2021-01-12,7.099441734242578,-1.3754266122159537,16.21748541303666,4.84,Normal,eCPM
2021-01-13,7.832593478324995,-0.5014085565413283,16.676943985752693,4.59,Normal,eCPM
2021-01-14,6.992591738986329,-2.2504638275023274,16.04609810256086,4.61,Normal,eCPM
2021-01-15,6.901386512864891,-2.3425589011382852,15.648148792845847,4.77,Normal,eCPM
2021-01-16,6.89540620034394,-1.520754931137916,15.590619321110562,6.15,Normal,eCPM
2021-01-17,7.434278232234479,-1.189967070019448,16.16768496438434,4.39,Normal,eCPM
2021-01-18,8.098958736407283,-0.5263751853988993,16.834317026958324,5.56,Normal,eCPM
2021-01-19,8.142866588911556,-0.41750603072113107,17.460437506079415,7.57,Normal,eCPM
2021-01-20,8.910615666275513,0.7127917274322588,17.719396984730064,3.97,Normal,eCPM
2021-01-21,8.072246005784894,-0.292098107541089,17.203507472935282,8.8,Normal,eCPM
2021-01-22,7.950096702569091,-1.3720543212240424,17.23346797134189,2.89,Normal,eCPM
2021-01-23,7.88180246619211,-0.5423025399353822,17.065380019557963,4.24,Normal,eCPM
2021-01-24,8.328975761196256,-0.762765268501233,16.424154368708024,5.87,Normal,eCPM
2021-01-25,8.875276665984481,-0.1363402145816932,17.542820728371414,7.82,Normal,eCPM
2021-01-26,8.777467541700322,0.15434591393090025,17.247505481168947,10.08,Normal,eCPM
2021-01-27,9.384048643579662,0.8393739056267431,17.850042841571685,10.51,Normal,eCPM
2021-01-28,8.369378199137351,-0.9581681814282221,16.70394377025638,6.12,Normal,eCPM
2021-01-29,8.060423019130658,-0.923223304284978,17.283445127076742,5.42,Normal,eCPM
2021-01-30,7.799625125580182,-1.409222514681886,16.89150771854511,3.48,Normal,eCPM
2021-01-31,8.05345010276029,-0.406120821879205,16.89994287566809,4.28,Normal,eCPM
2021-02-01,8.410323197179888,-0.9507964352245951,17.11851782872247,16.52,Normal,eCPM
2021-02-02,8.131554129873987,-0.2747143320613543,16.630014717524368,20.13,Positive,eCPM
2021-02-03,8.569850535370598,-0.3801494103434911,17.460180491888135,7.6,Normal,eCPM
2021-02-04,7.403327056074145,-0.9986808552974609,17.232496041651174,13.02,Normal,eCPM
2021-02-05,6.962159355676312,-2.1644311519677784,15.504214014757991,9.9,Normal,eCPM
2021-02-06,6.591371286023404,-2.5451463159526817,15.009938558137186,13.01,Normal,eCPM
2021-02-07,6.759323148738089,-2.06169593918856,15.350748771145462,3.87,Normal,eCPM
2021-02-08,7.055608726940028,-1.6507326877841446,16.038976378806026,9.64,Normal,eCPM
2021-02-09,6.7419630786169495,-2.1654034515225025,15.342998707227972,11.29,Normal,eCPM
2021-02-10,7.170781337494917,-1.0369764048802381,16.42450797902541,4.29,Normal,eCPM
2021-02-11,6.019155249212973,-2.7059735186756844,14.973533781623647,8.07,Normal,eCPM
2021-02-12,5.615575707033656,-2.950175346449895,13.915440222436827,8.96,Normal,eCPM
2021-02-13,5.302787898571988,-3.164344305460271,14.002687835998483,3.77,Normal,eCPM
2021-02-14,5.546364792085546,-2.8485025272180624,14.495168143363802,4.87,Normal,eCPM
2021-02-15,5.932703903838967,-2.5770674522612618,14.518531297563884,2.44,Normal,eCPM
2021-02-16,5.720046166122301,-2.801381530504674,14.167197066949127,4.11,Normal,eCPM
2021-02-17,6.257113627533432,-2.5400472794449422,14.701759494538964,4.11,Normal,eCPM
2021-02-18,5.217268963916444,-3.1820364903948395,14.107750454804252,7.14,Normal,eCPM
2021-02-19,4.9253411937436855,-3.839423905097578,13.012935642444043,5.85,Normal,eCPM
2021-02-20,4.72060033645223,-3.882887162255254,14.129824812920042,2.12,Normal,eCPM
2021-02-21,5.065442985392732,-3.902995780856349,13.850206402328189,13.07,Normal,eCPM
2021-02-22,5.54349021208217,-3.2703249283540226,13.885297285219718,12.2,Normal,eCPM
2021-02-23,5.410693437507827,-3.5754366937824233,14.246919761743209,2.11,Normal,eCPM
2021-02-24,6.014042258242362,-3.010489098245014,15.009361366730598,14.47,Normal,eCPM
2021-02-25,5.025774988224813,-3.45332752369503,14.413845302968463,4.86,Normal,eCPM
2021-02-26,4.770234688871333,-4.128423985462067,13.072081311525398,8.91,Normal,eCPM
2021-02-27,4.586852453810201,-4.141503922745696,13.70820415965922,1.16,Normal,eCPM
2021-02-28,4.938819629437695,-3.6589568076071495,13.283290361987925,9.76,Normal,eCPM
2021-03-01,5.411150791269617,-3.4282194437594153,14.456141890839039,4.92,Normal,eCPM
2021-03-02,5.261734199694558,-3.281976410126855,14.118795845947298,2.84,Normal,eCPM
2021-03-03,5.839965470697378,-2.657231328658106,13.974696865463082,4.69,Normal,eCPM
2021-03-04,4.820867541667212,-4.006262016613974,13.000917912150456,1.45,Normal,eCPM
2021-03-05,4.5318426397381595,-3.8611919461274544,12.70155221110188,2.49,Normal,eCPM
2021-03-06,4.315541294319176,-4.303552498522336,12.95356126171523,4.21,Normal,eCPM
